symbol,dimension7_sentiment,activity_score,momentum_score,recognition_score,modifiers,penalties,sector,interpretation
TKYO.X0000,67.95,55,57,56,12,0,Industrial,Moderate Industrial sentiment - mixed signals
TPL.N0000,62.75,45,65,60,12,-5,Industrial,Moderate Industrial sentiment - mixed signals
TRAN.N0000,76.1,65,46,64,18,0,Industrial,"Strong Industrial sentiment - positive momentum, good liquidity"
TSML.N0000,67.35,60,61,56,8,0,Industrial,Moderate Industrial sentiment - mixed signals
TYRE.N0000,56.349999999999994,60,51,58,0,0,Industrial,Moderate Industrial sentiment - mixed signals
UAL.N0000,73.85,60,61,66,12,0,Financial,"Strong Financial sentiment - positive momentum, good liquidity"
UBC.N0000,55.849999999999994,55,51,64,0,0,Financial,Moderate Financial sentiment - mixed signals
UBF.N0000,49.0,60,45,49,0,-3,Financial,Weak Financial sentiment - limited interest
UCAR.N0000,58.2,55,67,51,0,0,Industrial,Moderate Industrial sentiment - mixed signals
UDPL.N0000,74.15,50,69,60,15,0,Industrial,"Strong Industrial sentiment - positive momentum, good liquidity"
UML.N0000,91.95,60,77,68,24,0,Industrial,"Exceptional Industrial sentiment - strong momentum, high liquidity"
VFIN.N0000,72.9,55,69,59,12,0,Financial,"Strong Financial sentiment - positive momentum, good liquidity"
VLL.N0000,63.2,45,67,59,12,-5,Industrial,Moderate Industrial sentiment - mixed signals
VLL.X0000,41.05,45,43,52,0,-5,Industrial,Weak Industrial sentiment - limited interest
VONE.N0000,73.65,55,59,64,15,0,Industrial,"Strong Industrial sentiment - positive momentum, good liquidity"
VPEL.N0000,72.85,65,61,62,10,0,Industrial,"Strong Industrial sentiment - positive momentum, good liquidity"
WAPO.N0000,72.65,55,69,58,12,0,Industrial,"Strong Industrial sentiment - positive momentum, good liquidity"
WATA.N0000,100.0,65,71,63,37,0,Industrial,"Exceptional Industrial sentiment - strong momentum, high liquidity"
WIND.N0000,66.25,55,45,66,12,0,Industrial,Moderate Industrial sentiment - mixed signals
WLTH.N0000,49.25,60,35,52,0,0,Industrial,Weak Industrial sentiment - limited interest
YORK.N0000,80.0,50,85,41,23,-3,Industrial,"Strong Industrial sentiment - positive momentum, good liquidity"
