symbol,dimension5_management,capital_allocation_score,governance_score,track_record_score,modifiers,penalties,sector,interpretation
TILE.N0000,9.5,0,60,55,15,-40,Industrial,"Poor Industrial management - value destruction, avoid"
TJL.N0000,56.5,70,50,45,10,-10,Industrial,Moderate Industrial management - acceptable but room for improvement
TKYO.N0000,75.0,65,60,70,20,-10,Industrial,Strong Industrial management - solid capital allocation and value creation
TKYO.X0000,57.0,65,55,65,5,-10,Industrial,Moderate Industrial management - acceptable but room for improvement
TPL.N0000,25.0,0,80,70,20,-40,Industrial,"Poor Industrial management - value destruction, avoid"
TRAN.N0000,50.0,70,45,45,15,0,Industrial,"Weak Industrial management - concerning trends, investigate"
TSML.N0000,40.0,55,65,50,0,0,Industrial,"Weak Industrial management - concerning trends, investigate"
TYRE.N0000,65.5,65,65,50,5,0,Industrial,Moderate Industrial management - acceptable but room for improvement
UAL.N0000,72.0,40,90,80,25,-20,Financial,Strong Financial management - solid capital allocation and value creation
UBC.N0000,40.0,55,60,50,0,0,Financial,"Weak Financial management - concerning trends, investigate"
UBF.N0000,0.0,20,25,35,0,-40,Financial,"Poor Financial management - value destruction, avoid"
UCAR.N0000,100.0,70,70,90,35,-10,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
UDPL.N0000,55.5,20,90,85,25,-30,Industrial,Moderate Industrial management - acceptable but room for improvement
UML.N0000,100.0,70,80,75,30,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
VFIN.N0000,100.0,75,90,100,40,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
VLL.N0000,91.5,70,70,75,30,-10,Mature,"Exceptional Mature management - excellent capital allocation, strong track record"
VLL.X0000,23.0,70,15,35,10,-30,Mature,"Poor Mature management - value destruction, avoid"
VONE.N0000,100.0,55,90,85,30,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
VPEL.N0000,77.0,55,70,80,20,-10,Industrial,Strong Industrial management - solid capital allocation and value creation
WAPO.N0000,100.0,80,80,100,40,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
WATA.N0000,100.0,95,80,90,45,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
WIND.N0000,17.0,55,25,25,0,-20,Industrial,"Poor Industrial management - value destruction, avoid"
WLTH.N0000,0.0,20,25,35,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
YORK.N0000,40.0,55,80,60,20,0,Industrial,"Weak Industrial management - concerning trends, investigate"
